alpha_epoch,alpha_step,epoch,loss_cls_epoch,loss_cls_step,lr_epoch,lr_step,step,test_acc_epoch,test_acc_step,test_loss0,test_loss1,test_loss2,test_loss3,test_loss_epoch,test_loss_step,train_acc0_epoch,train_acc0_step,train_acc1_epoch,train_acc1_step,train_acc2_epoch,train_acc2_step,train_acc3_epoch,train_acc3_step,train_acc_epoch,train_acc_step,train_loss0_epoch,train_loss0_step,train_loss1_epoch,train_loss1_step,train_loss2_epoch,train_loss2_step,train_loss3_epoch,train_loss3_step,train_loss_epoch,train_loss_step,val_acc,val_acc0,val_acc1,val_acc2,val_acc3,val_loss,val_loss0,val_loss1,val_loss2,val_loss3
,0.004899960942566395,0,,3.4040074348449707,,0.0005000000237487257,49,,,,,,,,,,0.550000011920929,,0.5833333134651184,,0.44999998807907104,,0.7833333611488342,,0.5916666388511658,,1.0110269784927368,,0.8815378546714783,,1.0614745616912842,,0.44996798038482666,,3.411205530166626,,,,,,,,,,
,0.009899676777422428,0,,3.2266712188720703,,0.0005000000237487257,99,,,,,,,,,,0.6166666746139526,,0.5333333611488342,,0.4166666567325592,,0.8333333134651184,,0.6000000238418579,,0.8230565190315247,,0.9593607783317566,,1.0139689445495605,,0.43028494715690613,,3.233563184738159,,,,,,,,,,
,0.014898897148668766,0,,3.3205997943878174,,0.0005000000237487257,149,,,,,,,,,,0.6666666865348816,,0.5666666626930237,,0.5833333134651184,,0.6499999761581421,,0.6166666746139526,,0.8456583619117737,,0.9589803218841553,,0.9026896357536316,,0.6132714152336121,,3.3273098468780518,,,,,,,,,,
,0.019897373393177986,0,,3.3492355346679688,,0.0005000000237487257,199,,,,,,,,,,0.7166666388511658,,0.5333333611488342,,0.5166666507720947,,0.7166666388511658,,0.6208333373069763,,0.7773428559303284,,0.8272374272346497,,0.9940755367279053,,0.7505797743797302,,3.3561511039733887,,,,,,,,,,
,0.02489485591650009,0,,2.9583871364593506,,0.0005000000237487257,249,,,,,,,,,,0.75,,0.6000000238418579,,0.5166666507720947,,0.800000011920929,,0.6666666865348816,,0.6878907680511475,,0.8665237426757812,,0.9267435669898987,,0.4772290289402008,,2.9652695655822754,,,,,,,,,,
,0.02989109233021736,0,,2.970674753189087,,0.0005000000237487257,299,,,,,,,,,,0.7333333492279053,,0.550000011920929,,0.5166666507720947,,0.800000011920929,,0.6499999761581421,,0.6378046274185181,,0.8934891819953918,,0.9991119503974915,,0.4402690827846527,,2.9774813652038574,,,,,,,,,,
,0.03488583862781525,0,,2.966686487197876,,0.0005000000237487257,349,,,,,,,,,,0.6499999761581421,,0.550000011920929,,0.5833333134651184,,0.8166666626930237,,0.6499999761581421,,0.7596131563186646,,0.9206463694572449,,0.86090087890625,,0.42552605271339417,,2.973573684692383,,,,,,,,,,
,0.03987884148955345,0,,2.531463861465454,,0.0005000000237487257,399,,,,,,,,,,0.75,,0.7166666388511658,,0.5333333611488342,,0.8833333253860474,,0.7208333611488342,,0.620798647403717,,0.6579203009605408,,0.9569905400276184,,0.2957543730735779,,2.538458824157715,,,,,,,,,,
,0.04486985132098198,0,,3.146252393722534,,0.0005000000237487257,449,,,,,,,,,,0.699999988079071,,0.5,,0.6000000238418579,,0.7833333611488342,,0.6458333134651184,,0.6561196446418762,,1.046629786491394,,0.9655553102493286,,0.47794753313064575,,3.1532132625579834,,,,,,,,,,
,,0,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44385480880737305,0.4275100827217102,0.3493950366973877,0.5608150959014893,0.43769899010658264,5.105354309082031,1.1971490383148193,1.3378499746322632,1.0232340097427368,1.547121524810791
